,w/c,Water (kg/m3),Cement (kg/m3),Fly Ash (kg/m3),Type A,Type D,ASTM C494 Type F (g/kg),Slag (kg/m3),Superplasticizer (kg/m3),Fine Aggregate (kg/m3),Coarse Aggregate (kg),Limestone (kg/m3),Filler (kg/m3),RCA (kg/m3),Silica Fume (kg/m3),,,3 days,7 days,28 days,120 days
1,0.43,112.5,261.6,114,0,0,0,0,0,1536.5,373,0,0,0,0,0,0,0,0,17,0
2,0.51,128,250,215.5,0,0,0,0,0,1033.6,723.2,0,0,0,0,0,0,0,0,33.5,0
3,0.46,114.7,250,150,0,0,0,0,0,1154.8,715.8,0,0,0,0,0,0,0,0,23.1,0
4,0.27,95.2,350,0,0,0,0,0,0,575.9,1273,0,0,0,0,0,,,,61.1,
5,0.28,98.5,350,0,0,0,0,0,0,558.2,1325.4,0,0,0,0,0,,,,54.0,
6,0.28,97.7,339.5,0,0,0,0,0,0,655.3,1273,0,0,0,0,0,,,,65.7,
7,0.28,97.6,339.5,0,0,0,0,0,0,535,1247,0,0,0,0,0,,,,62.2,
8,0.28,97.6,336,0,0,0,0,0,0,535,1247,0,0,0,0,0,,,,54.5,
9,0.28,97.7,332.5,0,0,0,0,0,0,655.3,1273,0,0,0,0,0,,,,63.1,
10,0.28,97.6,329,0,0,0,0,0,0,535,1247,0,0,0,0,0,,,,52.2,
11,0.28,97.7,325.5,0,0,0,0,0,0,655.3,1273,0,0,0,0,0,,,,64.1,
12,0.29,117.8,410,0,0,0,0,0,0,491.2,1273,0,0,0,0,0,,,,59.9,
13,0.29,100.9,350,0,0,0,0,0,0,460.3,1419.8,0,0,0,0,0,,,,61.9,
14,0.29,102.6,350,0,0,0,0,0,0,535,1247,0,0,0,0,0,,,,64.2,
15,0.3,105.6,332.5,0,0,0,0,0,0,535,1247,0,0,0,17.5,0,,,,62.2,
16,0.31,118.1,380,0,0,0,0,0,0,354.2,1440.6,0,0,0,0,0,,,,60.5,
17,0.31,107.6,350,0,0,0,0,0,0,535,1247,0,0,0,0,0,,,,61.5,
18,0.31,107.8,325.5,0,0,0,0,0,0,535,1247,0,0,0,24.5,0,,,,65.0,
19,0.31,107.6,343,0,0,0,0,0,0,535,1247,0,0,0,0,0,,,,61.2,
20,0.31,97.7,320,0,0,0,0,0,0,671.8,1247,0,0,0,0,0,,,,63.2,
21,0.31,115.6,346,0,0,0,0,0,0,484,1289,0,0,0,27.3,0,,,,76.7,
22,0.32,121.1,380,0,0,0,0,0,0,502.5,1325.4,0,0,0,0,0,,,,67.4,
23,0.32,102.2,320,0,0,0,0,0,0,679.1,1259.7,0,0,0,0,0,,,,62.8,
24,0.32,103.2,320,0,0,0,0,0,0,665.6,1234.2,0,0,0,0,0,,,,60.3,
25,0.34,120.4,350,0,0,0,0,0,0,526.2,1325.4,0,0,0,0,0,,,,63.5,
26,0.34,119,350,0,0,0,0,0,0,710.6,1121.5,0,0,0,0,0,,,,59.6,
27,0.34,120,350,0,0,0,0,0,0,623.3,1208.7,0,0,0,0,0,,,,61.1,
28,0.35,95,252.6,0,0,0,0,0,0,828,1206,0,0,0,19.6,0,,,,66.7,
29,0.35,129.9,345.2,0,0,0,0,0,0,482,1282,0,0,0,27.1,0,,,,71.2,
30,0.36,134,375,0,0,0,0,0,0,1300,600,0,0,0,0,0,,,,64.0,
31,0.37,129.9,332.5,0,0,0,0,0,0,509.8,1325.4,0,0,0,17.5,0,,,,61.4,
32,0.37,136.9,343,0,0,0,0,0,0,480,1278,0,0,0,27,0,,,,71.2,
33,0.38,103.4,252.6,0,0,0,0,0,0,836,1063,0,0,0,19.6,0,,,,62.7,
34,0.38,98.4,258.9,0,0,0,0,0,0,835,1083,0,0,0,0,0,,,,55.0,
35,0.4,139.7,350,0,0,0,0,0,0,591.3,1145.5,0,0,0,0,0,,,,58.3,
36,0.35,83.1,237.3,0,0,0,116.25,0,0,910.7,1257.7,0,0,0,0,0,,7.7221312,17.0300572,27.0,
37,0.35,103.8,296.6,0,0,0,78.125,0,0,866.8,1196.6,0,0,0,0,0,,26.9585116,43.09225,56.6,
38,0.4,94.9,237.3,0,0,0,73.75,0,0,897.6,1239.4,0,0,0,0,0,,10.9281946,19.8913826,29.8,
39,0.45,106.8,237.3,0,0,0,34.375,0,0,884.0,1221.0,0,0,0,0,0,,13.5482034,23.1663936,33.0,
40,0.5,118.7,237.3,0,0,0,36.875,0,0,871.5,1203.2,0,0,0,0,0,,13.4103082,23.2353412,33.6,
41,0.51,180,163,191,0,0,0,149,12,746,843,0,0,0,0,0,,,,41.1,
