,w/c,Water (kg/m3),Cement (kg/m3),Fly Ash (kg/m3),Type A,Type D,ASTM C494 Type F (g/kg),Slag (kg/m3),Superplasticizer (kg/m3),Fine Aggregate (kg/m3),Coarse Aggregate (kg),Limestone (kg/m3),Filler (kg/m3),RCA (kg/m3),Silica Fume (kg/m3),,,3 days,7 days,28 days,120 days,,Fineness Modulus (Fine Aggregate),Absorption % (Fine Aggregate),Absorption % (Coarse Aggregate),Coarse aggregate size (mm),Cement Cost estimate/m^3,Fly Ash Cost estimate/m^3,Fine Aggregate Cost estimate/m^3,Coarse Aggregate Cost estimate/m^3,Slag Cost estimate/m^3,Limestone Cost estimate/m^3,Total Cost Estimate/m^3
1,0.43,112.5,261.6,114,0,0,0,0,0,1536.5,373,0,0,0,0,0,0,0,0,17,0,0,,,,,44.26272,11.27802,17.41366667,6.601769912,0,0,79.55617658
2,0.51,128,250,215.5,0,0,0,0,0,1033.6,723.2,0,0,0,0,0,0,0,0,33.5,0,0,,,,,42.3,21.319415,11.71413333,12.8,0,0,88.13354833
3,0.46,114.7,250,150,0,0,0,0,0,1154.8,715.8,0,0,0,0,0,0,0,0,23.1,0,0,,,,,42.3,14.8395,13.08773333,12.66902655,0,0,82.89625988
4,0.27,95.2,350,0,0,0,0,0,0,575.9,1273,0,0,0,0,0,,,,61.1,,,3.2,2.6,1.46,,59.22,0,6.526866667,22.53097345,0,0,88.27784012
5,0.28,98.5,350,0,0,0,0,0,0,558.2,1325.4,0,0,0,0,0,,,,54.0,,,3.2,2.6,1.46,,59.22,0,6.326266667,23.45840708,0,0,89.00467375
6,0.28,97.6,339.5,0,0,0,0,0,0,535,1247,0,0,0,0,0,,,,62.2,,,3.2,2.6,1.46,,57.4434,0,6.063333333,22.07079646,0,0,85.57752979
7,0.28,97.6,336,0,0,0,0,0,0,535,1247,0,0,0,0,0,,,,54.5,,,3.2,2.6,1.46,,56.8512,0,6.063333333,22.07079646,0,0,84.98532979
8,0.28,97.7,332.5,0,0,0,0,0,0,655.3,1273,0,0,0,0,0,,,,63.1,,,3.2,2.6,1.46,,56.259,0,7.426733333,22.53097345,0,0,86.21670678
9,0.28,97.6,329,0,0,0,0,0,0,535,1247,0,0,0,0,0,,,,52.2,,,3.2,2.6,1.46,,55.6668,0,6.063333333,22.07079646,0,0,83.80092979
10,0.28,97.7,325.5,0,0,0,0,0,0,655.3,1273,0,0,0,0,0,,,,64.1,,,3.2,2.6,1.46,,55.0746,0,7.426733333,22.53097345,0,0,85.03230678
11,0.29,117.8,410,0,0,0,0,0,0,491.2,1273,0,0,0,0,0,,,,59.9,,,3.2,2.6,1.46,,69.372,0,5.566933333,22.53097345,0,0,97.46990678
12,0.29,100.9,350,0,0,0,0,0,0,460.3,1419.8,0,0,0,0,0,,,,61.9,,,3.2,2.6,1.46,,59.22,0,5.216733333,25.12920354,0,0,89.56593687
13,0.29,102.6,350,0,0,0,0,0,0,535,1247,0,0,0,0,0,,,,64.2,,,3.2,2.6,1.46,,59.22,0,6.063333333,22.07079646,0,0,87.35412979
14,0.3,105.6,332.5,0,0,0,0,0,0,535,1247,0,0,0,17.5,0,,,,62.2,,,3.2,2.6,1.46,,56.259,0,6.063333333,22.07079646,0,0,84.39312979
15,0.31,118.1,380,0,0,0,0,0,0,354.2,1440.6,0,0,0,0,0,,,,60.5,,,3.2,2.6,1.46,,64.296,0,4.014266667,25.49734513,0,0,93.8076118
16,0.31,107.6,350,0,0,0,0,0,0,535,1247,0,0,0,0,0,,,,61.5,,,3.2,2.6,1.46,,59.22,0,6.063333333,22.07079646,0,0,87.35412979
17,0.31,107.8,325.5,0,0,0,0,0,0,535,1247,0,0,0,24.5,0,,,,65.0,,,3.2,2.6,1.46,,55.0746,0,6.063333333,22.07079646,0,0,83.20872979
18,0.31,107.6,343,0,0,0,0,0,0,535,1247,0,0,0,0,0,,,,61.2,,,3.2,2.6,1.46,,58.0356,0,6.063333333,22.07079646,0,0,86.16972979
19,0.31,97.7,320,0,0,0,0,0,0,671.8,1247,0,0,0,0,0,,,,63.2,,,3.2,2.6,1.46,,54.144,0,7.613733333,22.07079646,0,0,83.82852979
20,0.31,115.6,346,0,0,0,0,0,0,484,1289,0,0,0,27.3,0,,,,76.7,,,3.2,2.6,1.46,,58.5432,0,5.485333333,22.81415929,0,0,86.84269263
21,0.32,121.1,380,0,0,0,0,0,0,502.5,1325.4,0,0,0,0,0,,,,67.4,,,3.2,2.6,1.46,,64.296,0,5.695,23.45840708,0,0,93.44940708
22,0.32,102.2,320,0,0,0,0,0,0,679.1,1259.7,0,0,0,0,0,,,,62.8,,,3.2,2.6,1.46,,54.144,0,7.696466667,22.29557522,0,0,84.13604189
23,0.32,103.2,320,0,0,0,0,0,0,665.6,1234.2,0,0,0,0,0,,,,60.3,,,3.2,2.6,1.46,,54.144,0,7.543466667,21.84424779,0,0,83.53171445
24,0.34,120.4,350,0,0,0,0,0,0,526.2,1325.4,0,0,0,0,0,,,,63.5,,,3.2,2.6,1.46,,59.22,0,5.9636,23.45840708,0,0,88.64200708
25,0.34,119,350,0,0,0,0,0,0,710.6,1121.5,0,0,0,0,0,,,,59.6,,,3.2,2.6,1.46,,59.22,0,8.053466667,19.84955752,0,0,87.12302419
26,0.34,120,350,0,0,0,0,0,0,623.3,1208.7,0,0,0,0,0,,,,61.1,,,3.2,2.6,1.46,,59.22,0,7.064066667,21.39292035,0,0,87.67698702
27,0.35,95,252.6,0,0,0,0,0,0,828,1206,0,0,0,19.6,0,,,,66.7,,,3.2,2.6,1.46,,42.73992,0,9.384,21.34513274,0,0,73.46905274
28,0.35,129.9,345.2,0,0,0,0,0,0,482,1282,0,0,0,27.1,0,,,,71.2,,,3.2,2.6,1.46,,58.40784,0,5.462666667,22.69026549,0,0,86.56077215
29,0.36,134,375,0,0,0,0,0,0,1300,600,0,0,0,0,0,,,,64.0,,,3.2,2.6,1.46,,63.45,0,14.73333333,10.61946903,0,0,88.80280236
30,0.37,129.9,332.5,0,0,0,0,0,0,509.8,1325.4,0,0,0,17.5,0,,,,61.4,,,3.2,2.6,1.46,,56.259,0,5.777733333,23.45840708,0,0,85.49514041
31,0.37,136.9,343,0,0,0,0,0,0,480,1278,0,0,0,27,0,,,,71.2,,,3.2,2.6,1.46,,58.0356,0,5.44,22.61946903,0,0,86.09506903
32,0.38,103.4,252.6,0,0,0,0,0,0,836,1063,0,0,0,19.6,0,,,,62.7,,,3.2,2.6,1.46,,42.73992,0,9.474666667,18.81415929,0,0,71.02874596
33,0.38,98.4,258.9,0,0,0,0,0,0,835,1083,0,0,0,0,0,,,,55.0,,,3.2,2.6,1.46,,43.80588,0,9.463333333,19.16814159,0,0,72.43735493
34,0.4,139.7,350,0,0,0,0,0,0,591.3,1145.5,0,0,0,0,0,,,,58.3,,,3.2,2.6,1.46,,59.22,0,6.7014,20.27433628,0,0,86.19573628
35,0.35,83.1,237.3,0,0,0,116.25,0,0,910.7,1257.7,0,0,0,0,0,,7.7221312,17.0300572,27.0,,,,,,19,40.15306576,0,10.32106236,22.26105657,0,0,72.73518469
36,0.35,103.8,296.6,0,0,0,78.125,0,0,866.8,1196.6,0,0,0,0,0,,26.9585116,43.09225,56.6,,,,,,19,50.19133221,0,9.823499748,21.17950523,0,0,81.19433719
37,0.4,94.9,237.3,0,0,0,73.75,0,0,897.6,1239.4,0,0,0,0,0,,10.9281946,19.8913826,29.8,,,,,,19,40.15306576,0,10.17313834,21.93554112,0,0,72.26174522
38,0.45,106.8,237.3,0,0,0,34.375,0,0,884.0,1221.0,0,0,0,0,0,,13.5482034,23.1663936,33.0,,,,,,19,40.15306576,0,10.0184905,21.61002567,0,0,71.78158193
39,0.5,118.7,237.3,0,0,0,36.875,0,0,871.5,1203.2,0,0,0,0,0,,13.4103082,23.2353412,33.6,,,,,,19,40.15306576,0,9.877290301,21.29501071,0,0,71.32536678
40,0.51,180,163,191,0,0,0,149,12,746,843,0,0,0,0,0,,,,41.1,,,,,,,27.5796,18.89563,8.454666667,14.92035398,5.40423,0,75.25448065
41,0.51,168,152,178,0,0,0,139,18,695,944,0,0,0,0,0,,,,38.9,,,,,,,25.7184,17.60954,7.876666667,16.7079646,5.04153,0,72.95410127
42,1.24,183,148,0,0,0,0,180,11,757,972,0,0,0,0,0,,,,18.5,,,,,,,25.0416,0,8.579333333,17.20353982,6.5286,0,57.35307316
43,0.56,174,142,167,0,0,0,130,11,785,883,0,0,0,0,0,,,,36.7,,,,,,,24.0264,16.52131,8.896666667,15.62831858,4.7151,0,69.78779525
44,0.32,160,332,170,0,0,0,0,6,806,900,0,0,0,0,0,,,,58.5,,,,,,,56.1744,16.8181,9.134666667,15.92920354,0,0,98.05637021
45,0.46,180,276,116,0,0,0,90,9,768,870,0,0,0,0,0,,,,44.1,,,,,,,46.6992,11.47588,8.704,15.39823009,3.2643,0,85.54161009
46,0.40,166,172,238.5,0,0,0,162.1,7.4,641.4,953.3,0,0,0,0,0,,,,41.5,,,,,,,29.1024,23.594805,7.2692,16.87256637,5.879367,0,82.71833837
47,0.40,166.4,172.8,239.5,0,0,0,158.3,7.4,644.1,952.6,0,0,0,0,0,,,,41.8,,,,,,,29.23776,23.693735,7.2998,16.86017699,5.741541,0,82.83301299
48,0.42,179,184.3,239.2,0,0,0,153.4,7.5,640.9,920.2,0,0,0,0,0,,,,41.0,,,,,,,31.18356,23.664056,7.263533333,16.28672566,5.563818,0,83.961693
49,0.35,168.9,248.3,239.1,0,0,0,101,7.7,640.6,954.2,0,0,0,0,0,,,,50.0,,,,,,,42.01236,23.654163,7.260133333,16.88849558,3.66327,0,93.47842191
50,0.35,175.3,258.8,239.6,0,0,0,88,7.6,646,938.9,0,0,0,0,0,,,,50.5,,,,,,,43.78896,23.703628,7.321333333,16.61769912,3.19176,0,94.62338045
51,0.27,95.2,350,0,0,0,0,0,0,575.9,1273,0,0,0,0,0,,,,61.1,,,3.3,2.6,1.46,,59.22,0,6.526866667,22.53097345,0,0,88.27784012
52,0.28,97.6,339.5,0,0,0,0,0,0,535,1247,0,10.5,0,0,0,,,,62.2,,,3.3,2.6,1.46,,57.4434,0,6.063333333,22.07079646,0,0,85.57752979
53,0.28,97.6,336,0,0,0,0,0,0,535,1247,0,14,0,0,0,,,,54.5,,,3.3,2.6,1.46,,56.8512,0,6.063333333,22.07079646,0,0,84.98532979
54,0.28,97.6,329,0,0,0,0,0,0,535,1247,0,21,0,0,0,,,,52.2,,,3.3,2.6,1.46,,55.6668,0,6.063333333,22.07079646,0,0,83.80092979
55,0.29,117.8,410,0,0,0,0,0,0,491.2,1273,0,0,0,0,0,,,,59.9,,,3.3,2.6,1.46,,69.372,0,5.566933333,22.53097345,0,0,97.46990678
56,0.29,100.9,350,0,0,0,0,0,0,460.3,1419.8,0,0,0,0,0,,,,61.9,,,3.3,2.6,1.46,,59.22,0,5.216733333,25.12920354,0,0,89.56593687
57,0.29,102.6,350,0,0,0,0,0,0,535,1247,0,0,0,0,0,,,,64.2,,,3.3,2.6,1.46,,59.22,0,6.063333333,22.07079646,0,0,87.35412979
58,0.3,105.6,332.5,0,0,0,0,0,0,535,1247,0,0,0,17.5,0,,,,62.2,,,3.3,2.6,1.46,,56.259,0,6.063333333,22.07079646,0,0,84.39312979
59,0.31,118.1,380,0,0,0,0,0,0,354.2,1440.6,0,0,0,0,0,,,,60.5,,,3.3,2.6,1.46,,64.296,0,4.014266667,25.49734513,0,0,93.8076118
60,0.31,107.6,350,0,0,0,0,0,0,535,1247,0,0,0,0,0,,,,61.5,,,3.3,2.6,1.46,,59.22,0,6.063333333,22.07079646,0,0,87.35412979
61,0.31,107.6,343,0,0,0,0,0,0,535,1247,0,7,0,0,0,,,,61.2,,,3.3,2.6,1.46,,58.0356,0,6.063333333,22.07079646,0,0,86.16972979
62,0.32,103.2,320,0,0,0,0,0,0,665.6,1234.2,0,57,0,0,0,,,,60.3,,,3.3,2.6,1.46,,54.144,0,7.543466667,21.84424779,0,0,83.53171445
63,0.34,120.4,350,0,0,0,0,0,0,526.2,1325.4,0,0,0,0,0,,,,63.5,,,3.3,2.6,1.46,,59.22,0,5.9636,23.45840708,0,0,88.64200708
64,0.37,129.9,332.5,0,0,0,0,0,0,509.8,1325.4,0,0,0,17.5,0,,,,61.4,,,3.3,2.6,1.46,,56.259,0,5.777733333,23.45840708,0,0,85.49514041
65,0.31,115.6,346,0,0,0,0,0,0,484,1289,0,156.3,0,27.3,0,,,,76.7,,,3.3,2.6,1.46,,58.5432,0,5.485333333,22.81415929,0,0,86.84269263
66,0.35,95,252.6,0,0,0,0,0,0,828,1206,0,0,0,19.6,0,,,,66.7,,,3.3,2.6,1.46,,42.73992,0,9.384,21.34513274,0,0,73.46905274
67,0.35,129.9,345.2,0,0,0,0,0,0,482,1282,0,155.5,0,27.1,0,,,,71.2,,,3.3,2.6,1.46,,58.40784,0,5.462666667,22.69026549,0,0,86.56077215
68,0.37,136.9,343,0,0,0,0,0,0,480,1278,0,154.9,0,27,0,,,,71.2,,,3.3,2.6,1.46,,58.0356,0,5.44,22.61946903,0,0,86.09506903
69,0.38,103.4,252.6,0,0,0,0,0,0,836,1063,0,135,0,19.6,0,,,,62.7,,,3.3,2.6,1.46,,42.73992,0,9.474666667,18.81415929,0,0,71.02874596
70,0.38,98.4,258.9,0,0,0,0,0,0,835,1083,0,135,0,0,0,,,,55.0,,,3.3,2.6,1.46,,43.80588,0,9.463333333,19.16814159,0,0,72.43735493
71,0.35,135,270,0,0,0,0,0,0,849,1038.4,0,0,0,38,0,,,,47.0,,,3.3,2.6,1.46,,45.684,0,9.622,18.37876106,0,0,73.68476106
72,0.35,135,270,0,0,0,0,0,0,849,1038.4,0,0,0,38,0,,,,44.0,,,3.3,2.6,1.46,,45.684,0,9.622,18.37876106,0,0,73.68476106
73,0.42,85.6,204,0,0,0,0,0,0,1288,773,0,0,0,0,0,,,,12.0,,,,,,,34.5168,0,14.59733333,13.68141593,0,0,62.79554926
74,0.42,85.6,204,0,0,0,0,0,0,1145,916,0,0,0,0,0,,,,13.0,,,,,,,34.5168,0,12.97666667,16.21238938,0,0,63.70585605
75,0.42,85.6,204,0,0,0,0,0,0,1030,1030,0,0,0,0,0,,,,14.0,,,,,,,34.5168,0,11.67333333,18.2300885,0,0,64.42022183
76,0.42,85.6,204,0,0,0,0,0,0,937,1123,0,0,0,0,0,,,,27.0,,,,,,,34.5168,0,10.61933333,19.87610619,0,0,65.01223953
77,0.42,85.6,204,0,0,0,0,0,0,859,1202,0,0,0,0,0,,,,28.0,,,,,,,34.5168,0,9.735333333,21.27433628,0,0,65.52646962
78,0.42,85.6,204,0,0,0,0,0,0,793,1268,0,0,0,0,0,,,,29.0,,,,,,,34.5168,0,8.987333333,22.44247788,0,0,65.94661121
79,0.42,85.6,204,0,0,0,0,0,0,736,1325,0,0,0,0,0,,,,30.0,,,,,,,34.5168,0,8.341333333,23.45132743,0,0,66.30946077
80,0.42,112.8,268,0,0,0,0,0,0,1230,738,0,0,0,0,0,,,,30.0,,,,,,,45.3456,0,13.94,13.0619469,0,0,72.3475469
